Algorithm,Size,Order,Time
InsertionSort,100,crescente,0.003028
InsertionSort,100,decrescente,0.116498
InsertionSort,100,aleatório,0.05794
InsertionSort,500,crescente,0.013341
InsertionSort,500,decrescente,0.718221
InsertionSort,500,aleatório,0.585857
InsertionSort,1000,crescente,0.322327
InsertionSort,1000,decrescente,1.894852
InsertionSort,1000,aleatório,0.056735
InsertionSort,5000,crescente,0.003976
InsertionSort,5000,decrescente,2.198434
InsertionSort,5000,aleatório,1.122409
InsertionSort,20000,crescente,0.015685
InsertionSort,20000,decrescente,40.882717
InsertionSort,20000,aleatório,18.104781
InsertionSort,50000,crescente,0.04021
InsertionSort,50000,decrescente,256.086846
InsertionSort,50000,aleatório,125.892043
InsertionSort,100000,crescente,0.077662
InsertionSort,100000,decrescente,1036.527578
InsertionSort,100000,aleatório,512.118171
InsertionSort,500000,crescente,0.39262
InsertionSort,500000,decrescente,26003.058308
InsertionSort,500000,aleatório,12987.289029
SelectionSort,100,crescente,0.06211
SelectionSort,100,decrescente,0.053249
SelectionSort,100,aleatório,0.099831
SelectionSort,500,crescente,0.893522
SelectionSort,500,decrescente,0.060445
SelectionSort,500,aleatório,0.077265
SelectionSort,1000,crescente,0.185558
SelectionSort,1000,decrescente,0.221821
SelectionSort,1000,aleatório,0.241166
SelectionSort,5000,crescente,4.288946
SelectionSort,5000,decrescente,4.916821
SelectionSort,5000,aleatório,4.709833
SelectionSort,20000,crescente,67.537705
SelectionSort,20000,decrescente,76.589136
SelectionSort,20000,aleatório,69.767688
SelectionSort,50000,crescente,420.74189
SelectionSort,50000,decrescente,477.351249
SelectionSort,50000,aleatório,427.81123
SelectionSort,100000,crescente,1681.29803
SelectionSort,100000,decrescente,1907.720997
SelectionSort,100000,aleatório,1695.869427
SelectionSort,500000,crescente,42055.514785
SelectionSort,500000,decrescente,47526.819321
SelectionSort,500000,aleatório,42143.585723
BubbleSort,100,crescente,0.00311
BubbleSort,100,decrescente,0.189783
BubbleSort,100,aleatório,0.153772
BubbleSort,500,crescente,0.010018
BubbleSort,500,decrescente,2.175279
BubbleSort,500,aleatório,2.059443
BubbleSort,1000,crescente,0.000306
BubbleSort,1000,decrescente,0.730655
BubbleSort,1000,aleatório,0.754614
BubbleSort,5000,crescente,0.002021
BubbleSort,5000,decrescente,18.517339
BubbleSort,5000,aleatório,15.233114
BubbleSort,20000,crescente,0.006116
BubbleSort,20000,decrescente,297.197391
BubbleSort,20000,aleatório,489.447935
BubbleSort,50000,crescente,0.014704
BubbleSort,50000,decrescente,1860.896631
BubbleSort,50000,aleatório,3413.662115
BubbleSort,100000,crescente,0.02786
BubbleSort,100000,decrescente,7443.038223
BubbleSort,100000,aleatório,14075.238675
BubbleSort,500000,crescente,0.13824
BubbleSort,500000,decrescente,186196.749379
BubbleSort,500000,aleatório,359440.381781
MergeSort,100,crescente,0.118061
MergeSort,100,decrescente,0.003277
MergeSort,100,aleatório,0.00689
MergeSort,500,crescente,0.037532
MergeSort,500,decrescente,0.009851
MergeSort,500,aleatório,0.028974
MergeSort,1000,crescente,0.019291
MergeSort,1000,decrescente,0.024704
MergeSort,1000,aleatório,0.062664
MergeSort,5000,crescente,0.109008
MergeSort,5000,decrescente,0.167063
MergeSort,5000,aleatório,0.364718
MergeSort,20000,crescente,0.472775
MergeSort,20000,decrescente,0.520459
MergeSort,20000,aleatório,1.655232
MergeSort,50000,crescente,1.298586
MergeSort,50000,decrescente,1.573226
MergeSort,50000,aleatório,4.453284
MergeSort,100000,crescente,2.497442
MergeSort,100000,decrescente,2.855565
MergeSort,100000,aleatório,9.500162
MergeSort,500000,crescente,13.22489
MergeSort,500000,decrescente,15.299954
MergeSort,500000,aleatório,52.843268
QuickSort,100,crescente,0.246763
QuickSort,100,decrescente,0.040507
QuickSort,100,aleatório,0.006751
QuickSort,500,crescente,0.138539
QuickSort,500,decrescente,0.007364
QuickSort,500,aleatório,0.01735
QuickSort,1000,crescente,0.008857
QuickSort,1000,decrescente,0.01825
QuickSort,1000,aleatório,0.0538
QuickSort,5000,crescente,0.055291
QuickSort,5000,decrescente,0.104
QuickSort,5000,aleatório,0.313781
QuickSort,20000,crescente,0.222299
QuickSort,20000,decrescente,0.480137
QuickSort,20000,aleatório,1.401138
QuickSort,50000,crescente,0.592613
QuickSort,50000,decrescente,1.280991
QuickSort,50000,aleatório,3.762398
QuickSort,100000,crescente,1.282753
QuickSort,100000,decrescente,2.743542
QuickSort,100000,aleatório,7.981341
QuickSort,500000,crescente,6.444926
QuickSort,500000,decrescente,15.463153
QuickSort,500000,aleatório,44.301525
