Algorithm,Size,Order,Time
InsertionSort,100,ascending,0.003028
InsertionSort,100,descending,0.116498
InsertionSort,100,random,0.05794
InsertionSort,500,ascending,0.013341
InsertionSort,500,descending,0.718221
InsertionSort,500,random,0.585857
InsertionSort,1000,ascending,0.322327
InsertionSort,1000,descending,1.894852
InsertionSort,1000,random,0.056735
InsertionSort,5000,ascending,0.003976
InsertionSort,5000,descending,2.198434
InsertionSort,5000,random,1.122409
InsertionSort,20000,ascending,0.015685
InsertionSort,20000,descending,40.882717
InsertionSort,20000,random,18.104781
InsertionSort,50000,ascending,0.04021
InsertionSort,50000,descending,256.086846
InsertionSort,50000,random,125.892043
InsertionSort,100000,ascending,0.077662
InsertionSort,100000,descending,1036.527578
InsertionSort,100000,random,512.118171
InsertionSort,500000,ascending,0.39262
InsertionSort,500000,descending,26003.058308
InsertionSort,500000,random,12987.289029
SelectionSort,100,ascending,0.06211
SelectionSort,100,descending,0.053249
SelectionSort,100,random,0.099831
SelectionSort,500,ascending,0.893522
SelectionSort,500,descending,0.060445
SelectionSort,500,random,0.077265
SelectionSort,1000,ascending,0.185558
SelectionSort,1000,descending,0.221821
SelectionSort,1000,random,0.241166
SelectionSort,5000,ascending,4.288946
SelectionSort,5000,descending,4.916821
SelectionSort,5000,random,4.709833
SelectionSort,20000,ascending,67.537705
SelectionSort,20000,descending,76.589136
SelectionSort,20000,random,69.767688
SelectionSort,50000,ascending,420.74189
SelectionSort,50000,descending,477.351249
SelectionSort,50000,random,427.81123
SelectionSort,100000,ascending,1681.29803
SelectionSort,100000,descending,1907.720997
SelectionSort,100000,random,1695.869427
SelectionSort,500000,ascending,42055.514785
SelectionSort,500000,descending,47526.819321
SelectionSort,500000,random,42143.585723
BubbleSort,100,ascending,0.00311
BubbleSort,100,descending,0.189783
BubbleSort,100,random,0.153772
BubbleSort,500,ascending,0.010018
BubbleSort,500,descending,2.175279
BubbleSort,500,random,2.059443
BubbleSort,1000,ascending,3.06E-4
BubbleSort,1000,descending,0.730655
BubbleSort,1000,random,0.754614
BubbleSort,5000,ascending,0.002021
BubbleSort,5000,descending,18.517339
BubbleSort,5000,random,15.233114
BubbleSort,20000,ascending,0.006116
BubbleSort,20000,descending,297.197391
BubbleSort,20000,random,489.447935
BubbleSort,50000,ascending,0.014704
BubbleSort,50000,descending,1860.896631
BubbleSort,50000,random,3413.662115
BubbleSort,100000,ascending,0.02786
BubbleSort,100000,descending,7443.038223
BubbleSort,100000,random,14075.238675
BubbleSort,500000,ascending,0.13824
BubbleSort,500000,descending,186196.749379
BubbleSort,500000,random,359440.381781
MergeSort,100,ascending,0.118061
MergeSort,100,descending,0.003277
MergeSort,100,random,0.00689
MergeSort,500,ascending,4.211053
MergeSort,500,descending,0.009851
MergeSort,500,random,0.028974
MergeSort,1000,ascending,0.019291
MergeSort,1000,descending,0.024704
MergeSort,1000,random,0.062664
MergeSort,5000,ascending,0.109008
MergeSort,5000,descending,0.167063
MergeSort,5000,random,0.364718
MergeSort,20000,ascending,0.472775
MergeSort,20000,descending,0.520459
MergeSort,20000,random,1.655232
MergeSort,50000,ascending,1.298586
MergeSort,50000,descending,1.573226
MergeSort,50000,random,4.453284
MergeSort,100000,ascending,2.497442
MergeSort,100000,descending,2.855565
MergeSort,100000,random,9.500162
MergeSort,500000,ascending,13.22489
MergeSort,500000,descending,15.299954
MergeSort,500000,random,52.843268
QuickSort,100,ascending,0.246763
QuickSort,100,descending,0.040507
QuickSort,100,random,0.006751
QuickSort,500,ascending,0.606749
QuickSort,500,descending,0.007364
QuickSort,500,random,2.130313
QuickSort,1000,ascending,0.008857
QuickSort,1000,descending,0.01825
QuickSort,1000,random,0.0538
QuickSort,5000,ascending,0.055291
QuickSort,5000,descending,0.104
QuickSort,5000,random,0.313781
QuickSort,20000,ascending,0.222299
QuickSort,20000,descending,0.480137
QuickSort,20000,random,1.401138
QuickSort,50000,ascending,0.592613
QuickSort,50000,descending,1.280991
QuickSort,50000,random,3.762398
QuickSort,100000,ascending,1.282753
QuickSort,100000,descending,2.743542
QuickSort,100000,random,7.981341
QuickSort,500000,ascending,6.444926
QuickSort,500000,descending,15.463153
QuickSort,500000,random,44.301525
