Algorithm,Size,Order,Time
InsertionSort,100,ascending,0.005222
InsertionSort,100,descending,0.113989
InsertionSort,100,random,0.061349
InsertionSort,500,ascending,0.01424
InsertionSort,500,descending,3.414337
InsertionSort,500,random,0.12011
InsertionSort,1000,ascending,0.003083
InsertionSort,1000,descending,1.594837
InsertionSort,1000,random,5.528556
InsertionSort,5000,ascending,1.485321
InsertionSort,5000,descending,12.217687
InsertionSort,5000,random,1.155947
InsertionSort,20000,ascending,0.015739
InsertionSort,20000,descending,39.222031
InsertionSort,20000,random,18.571406
InsertionSort,50000,ascending,0.039791
InsertionSort,50000,descending,258.906403
InsertionSort,50000,random,127.899244
InsertionSort,100000,ascending,0.078804
InsertionSort,100000,descending,1032.187713
InsertionSort,100000,random,514.339701
InsertionSort,500000,ascending,0.385934
InsertionSort,500000,descending,26203.13304
InsertionSort,500000,random,13055.549457
SelectionSort,100,ascending,0.051067
SelectionSort,100,descending,0.088065
SelectionSort,100,random,0.077184
SelectionSort,500,ascending,4.051554
SelectionSort,500,descending,1.626674
SelectionSort,500,random,0.254628
SelectionSort,1000,ascending,0.976393
SelectionSort,1000,descending,3.644562
SelectionSort,1000,random,1.019713
SelectionSort,5000,ascending,25.585846
SelectionSort,5000,descending,25.658179
SelectionSort,5000,random,25.695666
SelectionSort,20000,ascending,414.080008
SelectionSort,20000,descending,414.031558
SelectionSort,20000,random,413.817386
SelectionSort,50000,ascending,2591.700328
SelectionSort,50000,descending,2593.130527
SelectionSort,50000,random,2592.188245
SelectionSort,100000,ascending,10374.609284
SelectionSort,100000,descending,10378.396903
SelectionSort,100000,random,10374.785686
SelectionSort,500000,ascending,259657.739997
SelectionSort,500000,descending,260068.013523
SelectionSort,500000,random,260592.43291
BubbleSort,100,ascending,0.007621
BubbleSort,100,descending,0.189179
BubbleSort,100,random,0.153588
BubbleSort,500,ascending,0.010322
BubbleSort,500,descending,6.043561
BubbleSort,500,random,4.536742
BubbleSort,1000,ascending,0.00845
BubbleSort,1000,descending,5.969771
BubbleSort,1000,random,0.800201
BubbleSort,5000,ascending,0.001674
BubbleSort,5000,descending,19.960902
BubbleSort,5000,random,16.991143
BubbleSort,20000,ascending,0.00757
BubbleSort,20000,descending,309.743131
BubbleSort,20000,random,510.679237
BubbleSort,50000,ascending,0.014134
BubbleSort,50000,descending,1975.341292
BubbleSort,50000,random,3618.473384
BubbleSort,100000,ascending,0.029805
BubbleSort,100000,descending,7586.433859
BubbleSort,100000,random,14198.380604
BubbleSort,500000,ascending,0.14142
BubbleSort,500000,descending,187694.601703
BubbleSort,500000,random,362419.458418
MergeSort,100,ascending,0.052152
MergeSort,100,descending,0.281371
MergeSort,100,random,0.251728
MergeSort,500,ascending,0.01999
MergeSort,500,descending,0.02081
MergeSort,500,random,0.04095
MergeSort,1000,ascending,19.5711
MergeSort,1000,descending,0.022772
MergeSort,1000,random,0.064915
MergeSort,5000,ascending,0.107728
MergeSort,5000,descending,0.128305
MergeSort,5000,random,0.388612
MergeSort,20000,ascending,0.453426
MergeSort,20000,descending,0.54091
MergeSort,20000,random,1.729804
MergeSort,50000,ascending,1.255475
MergeSort,50000,descending,1.596571
MergeSort,50000,random,4.554863
MergeSort,100000,ascending,2.571256
MergeSort,100000,descending,3.088438
MergeSort,100000,random,9.69851
MergeSort,500000,ascending,14.266371
MergeSort,500000,descending,15.72935
MergeSort,500000,random,54.61852
QuickSort,100,ascending,0.214257
QuickSort,100,descending,0.025238
QuickSort,100,random,0.762109
QuickSort,500,ascending,0.387429
QuickSort,500,descending,0.037735
QuickSort,500,random,0.040404
QuickSort,1000,ascending,3.645128
QuickSort,1000,descending,0.031864
QuickSort,1000,random,0.060061
QuickSort,5000,ascending,11.079918
QuickSort,5000,descending,0.140149
QuickSort,5000,random,0.331072
QuickSort,20000,ascending,0.223559
QuickSort,20000,descending,0.495076
QuickSort,20000,random,1.4875
QuickSort,50000,ascending,0.563367
QuickSort,50000,descending,1.308327
QuickSort,50000,random,4.035363
QuickSort,100000,ascending,1.296609
QuickSort,100000,descending,2.830691
QuickSort,100000,random,8.256341
QuickSort,500000,ascending,6.831609
QuickSort,500000,descending,16.224807
QuickSort,500000,random,46.562419
