Algorithm,Size,Order,Time
InsertionSort,100,ascending,0.002883
InsertionSort,100,descending,0.108032
InsertionSort,100,random,0.054627
InsertionSort,500,ascending,0.012965
InsertionSort,500,descending,0.369934
InsertionSort,500,random,0.360412
InsertionSort,1000,ascending,0.002834
InsertionSort,1000,descending,0.793353
InsertionSort,1000,random,0.211274
InsertionSort,5000,ascending,0.053345
InsertionSort,5000,descending,2.219932
InsertionSort,5000,random,1.158385
InsertionSort,20000,ascending,0.016698
InsertionSort,20000,descending,38.352377
InsertionSort,20000,random,18.456118
InsertionSort,50000,ascending,0.0412
InsertionSort,50000,descending,259.588124
InsertionSort,50000,random,125.072333
InsertionSort,100000,ascending,0.083116
InsertionSort,100000,descending,1041.64744
InsertionSort,100000,random,515.2736
InsertionSort,500000,ascending,0.410557
InsertionSort,500000,descending,26152.748859
InsertionSort,500000,random,12994.769871
SelectionSort,100,ascending,0.049332
SelectionSort,100,descending,0.050032
SelectionSort,100,random,0.06976
SelectionSort,500,ascending,0.244089
SelectionSort,500,descending,0.174131
SelectionSort,500,random,0.131712
SelectionSort,1000,ascending,0.339274
SelectionSort,1000,descending,0.281592
SelectionSort,1000,random,0.264601
SelectionSort,5000,ascending,5.149339
SelectionSort,5000,descending,5.435928
SelectionSort,5000,random,5.458086
SelectionSort,20000,ascending,81.981474
SelectionSort,20000,descending,85.546643
SelectionSort,20000,random,83.47108
SelectionSort,50000,ascending,511.816099
SelectionSort,50000,descending,534.224594
SelectionSort,50000,random,515.682031
SelectionSort,100000,ascending,2047.613179
SelectionSort,100000,descending,2137.622002
SelectionSort,100000,random,2054.306057
SelectionSort,500000,ascending,51142.106084
SelectionSort,500000,descending,53136.418498
SelectionSort,500000,random,51214.172757
BubbleSort,100,ascending,0.002598
BubbleSort,100,descending,0.179993
BubbleSort,100,random,0.146251
BubbleSort,500,ascending,0.009214
BubbleSort,500,descending,0.399941
BubbleSort,500,random,0.403743
BubbleSort,1000,ascending,0.002194
BubbleSort,1000,descending,1.092486
BubbleSort,1000,random,0.727726
BubbleSort,5000,ascending,0.00133
BubbleSort,5000,descending,18.47388
BubbleSort,5000,random,14.694819
BubbleSort,20000,ascending,0.007293
BubbleSort,20000,descending,296.399989
BubbleSort,20000,random,490.675663
BubbleSort,50000,ascending,0.014582
BubbleSort,50000,descending,1856.982544
BubbleSort,50000,random,3427.208242
BubbleSort,100000,ascending,0.030476
BubbleSort,100000,descending,7424.902812
BubbleSort,100000,random,14063.825385
BubbleSort,500000,ascending,0.148825
BubbleSort,500000,descending,185655.171963
BubbleSort,500000,random,357523.628765
MergeSort,100,ascending,0.043649
MergeSort,100,descending,0.032172
MergeSort,100,random,0.026027
MergeSort,500,ascending,0.027642
MergeSort,500,descending,0.025755
MergeSort,500,random,0.047242
MergeSort,1000,ascending,0.056597
MergeSort,1000,descending,0.055412
MergeSort,1000,random,0.104192
MergeSort,5000,ascending,0.341975
MergeSort,5000,descending,0.322672
MergeSort,5000,random,1.413106
MergeSort,20000,ascending,2.883165
MergeSort,20000,descending,0.479735
MergeSort,20000,random,1.66409
MergeSort,50000,ascending,1.200147
MergeSort,50000,descending,1.246499
MergeSort,50000,random,4.620636
MergeSort,100000,ascending,2.55058
MergeSort,100000,descending,2.6656
MergeSort,100000,random,10.070463
MergeSort,500000,ascending,14.103922
MergeSort,500000,descending,14.882433
MergeSort,500000,random,55.283722
QuickSort,100,ascending,0.110201
QuickSort,100,descending,0.025516
QuickSort,100,random,0.009606
QuickSort,500,ascending,0.477512
QuickSort,500,descending,0.073159
QuickSort,500,random,0.035517
QuickSort,1000,ascending,0.356379
QuickSort,1000,descending,0.265899
QuickSort,1000,random,0.044961
QuickSort,5000,ascending,7.710958
QuickSort,5000,descending,5.723908
QuickSort,5000,random,0.282037
QuickSort,20000,ascending,124.682738
QuickSort,20000,descending,91.796235
QuickSort,20000,random,1.439496
QuickSort,50000,ascending,747.949972
QuickSort,50000,descending,565.102705
QuickSort,50000,random,3.241281
QuickSort,100000,ascending,2990.296461
QuickSort,100000,descending,2258.217941
QuickSort,100000,random,6.953798
QuickSort,500000,ascending,74590.044597
QuickSort,500000,descending,56444.526152
QuickSort,500000,random,39.312385
